"conflict_id","ISO","year","best","binaryconflict"
333,"AFG",2006,10,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,4,0
333,"AFG",2006,28,1
333,"AFG",2006,2,0
333,"AFG",2006,3,0
333,"AFG",2006,5,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,3,0
333,"AFG",2006,21,0
333,"AFG",2006,16,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,10,0
333,"AFG",2006,2,0
333,"AFG",2006,3,0
333,"AFG",2006,4,0
333,"AFG",2006,4,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,13,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
333,"AFG",2006,6,0
333,"AFG",2006,2,0
333,"AFG",2006,5,0
333,"AFG",2006,14,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,5,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,11,0
333,"AFG",2006,0,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,3,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,5,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,0,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,3,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,0,0
333,"AFG",2006,13,0
333,"AFG",2006,3,0
333,"AFG",2006,1,0
333,"AFG",2006,10,0
333,"AFG",2006,2,0
333,"AFG",2006,12,0
333,"AFG",2006,2,0
333,"AFG",2006,5,0
333,"AFG",2006,0,0
333,"AFG",2006,2,0
333,"AFG",2006,3,0
333,"AFG",2006,4,0
333,"AFG",2006,3,0
333,"AFG",2006,3,0
333,"AFG",2006,1,0
333,"AFG",2006,3,0
333,"AFG",2006,4,0
333,"AFG",2006,2,0
333,"AFG",2006,4,0
333,"AFG",2007,0,0
333,"AFG",2007,1,0
333,"AFG",2007,11,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,6,0
333,"AFG",2007,5,0
333,"AFG",2007,1,0
333,"AFG",2007,4,0
333,"AFG",2007,1,0
333,"AFG",2007,4,0
333,"AFG",2007,5,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,2,0
333,"AFG",2007,1,0
333,"AFG",2007,7,0
333,"AFG",2007,2,0
333,"AFG",2007,6,0
333,"AFG",2007,30,1
333,"AFG",2007,2,0
333,"AFG",2007,6,0
333,"AFG",2007,1,0
333,"AFG",2007,6,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,2,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,14,0
333,"AFG",2007,1,0
333,"AFG",2007,2,0
333,"AFG",2007,6,0
333,"AFG",2007,1,0
333,"AFG",2007,5,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,4,0
333,"AFG",2007,2,0
333,"AFG",2007,3,0
333,"AFG",2007,1,0
333,"AFG",2007,2,0
333,"AFG",2007,3,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,5,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,8,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,4,0
333,"AFG",2007,3,0
333,"AFG",2007,1,0
333,"AFG",2007,3,0
333,"AFG",2007,4,0
333,"AFG",2007,0,0
333,"AFG",2007,1,0
333,"AFG",2007,4,0
333,"AFG",2007,2,0
333,"AFG",2007,4,0
333,"AFG",2007,1,0
333,"AFG",2007,2,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,7,0
333,"AFG",2007,2,0
333,"AFG",2007,9,0
333,"AFG",2007,5,0
333,"AFG",2007,3,0
333,"AFG",2007,5,0
333,"AFG",2007,2,0
333,"AFG",2007,4,0
333,"AFG",2007,16,0
333,"AFG",2007,6,0
333,"AFG",2007,1,0
333,"AFG",2007,8,0
333,"AFG",2007,4,0
333,"AFG",2007,2,0
333,"AFG",2007,6,0
333,"AFG",2007,2,0
333,"AFG",2007,5,0
333,"AFG",2007,34,1
333,"AFG",2007,2,0
333,"AFG",2007,2,0
333,"AFG",2007,4,0
333,"AFG",2007,1,0
333,"AFG",2007,1,0
333,"AFG",2007,6,0
